up,view,danmaku,reply,favorite,coin,share,like,dislike,tname,his_rank
晨曦Archi,7413144,59398,14600,515892,1185947,125375,1134205,0,单机游戏,1
不是词神,4621452,14838,19721,163916,437003,72274,480439,0,音乐综合,2
老爸评测,6115942,18821,10841,228867,833029,25083,681821,0,日常,2
盗月社食遇记,3872902,20769,5430,167359,559176,6286,478043,0,美食侦探,3
棕与灰9,12934150,4313,4267,184571,532251,24100,1088061,0,短片·手书,16
白日梦不要钱--,11203565,14772,17076,311994,122558,435794,803372,0,美食记录,1
一只王霸天,9808316,7963,4746,193834,73317,178577,964312,0,搞笑,3
探索吧芋圆,5640238,9568,9634,25504,136289,10442,266439,0,美食侦探,6
原神,3628727,38363,22797,92001,310755,34027,406463,0,手机游戏,1
山城小栗旬的理发日记,9416879,14085,7784,80300,294459,17311,938295,0,美妆护肤,5
菇菇和呱呱,4290208,7525,10824,154714,296788,42409,385506,0,数码,9
大漠叔叔,4036585,23250,6429,35755,220141,19399,388881,0,搞笑,6
某幻君,2913954,26949,4764,63431,171337,6116,310080,0,单机游戏,4
愚人戏社,3283984,13298,5194,203218,241238,36046,353103,0,短片·手书,4
小文哥吃吃吃,4267886,10853,3006,24425,150230,3720,393240,0,美食制作,4
逍遥散人,8744981,225337,19910,143693,265457,43844,368441,0,单机游戏,13
郑潇viki,2757544,4294,7372,70335,223106,16993,283839,0,翻唱,7
李buy天,1626687,7040,2339,47909,161185,2361,221644,0,手工,88
猫不理咖啡,10968545,1520,2298,86407,50127,12315,1062220,0,喵星人,5
DJGunbuster,4330465,4388,3277,63252,34837,22097,424208,0,音游,51
黝黑蜗壳天眼老师,2417610,13275,3573,62413,192642,19652,228432,0,综合,15
约战精灵情报处,1582582,5317,10027,38961,64631,38285,171450,0,综合,10
绵羊料理,6573596,24184,3759,53038,212870,8457,483679,0,美食制作,8
喵与茶,1700971,902,804,17903,26245,12771,89994,0,动物二创,0
小鸣er先生,4582442,9033,4445,61020,72137,30066,231046,0,网络游戏,15
逍遥米饭啊,6075604,14616,9812,115781,140705,95357,438066,0,桌游棋牌,10
帅soserious,9692872,16206,18265,182589,202555,83395,427477,0,健身,6
MJ小林大人嗷,4427019,3081,2993,88911,114569,25166,332179,0,综合,26
不知道叫什么好的萝卜,9354800,10762,4952,115836,161346,30955,1032954,0,短片·手书,61
MoreBoost,4416025,2497,4345,160954,103562,13579,358066,0,综合,13
花少北丶,4131389,30090,7241,79884,188584,7260,354573,0,搞笑,8
梦幻西游电脑版,4654575,28343,4606,67499,63502,20611,197382,0,MV,17
阿彭彭阿,6503915,11561,2467,56357,250292,15229,512292,0,美食制作,10
克劳斯麦特,1423864,2891,3494,91071,157096,14775,152032,0,短片·手书,23
乃琳Queen,1691492,27646,42166,52957,138369,26579,141876,0,综合,2
茜茜的旅行,4478334,1846,5265,30747,25019,4166,497096,0,野生动物,56
刘大悦er,8242588,1767,3402,46147,6923,22998,706644,0,短片,11
中国邮政,3438925,2888,4516,15730,15810,1754,332196,0,综合,18
是老胡没错,7460967,11315,13048,129861,125823,35012,727038,0,搞笑,8
古的古的,5230118,5373,1255,66018,6052,13500,540352,0,动物二创,48
凉风Kaze,2402893,8959,5180,20502,52803,2933,274791,0,动漫杂谈,19
嗨大兴,7310998,8234,5733,191331,66029,13806,274155,0,单机游戏,19
邓峰萌萌摔肿了,4264348,1294,2008,61941,4654,17327,532531,0,喵星人,28
哈米伦的弄笛者,11969947,357025,42929,676850,1573179,161039,1167187,0,手机游戏,1
黑神话悟空,7855398,75922,44494,118801,540389,107639,711063,0,单机游戏,1
奶糕成精档案社,14166571,28397,11642,553819,1420980,252527,1681791,0,喵星人,2
盗月社食遇记,4450673,20060,5979,126331,472155,7933,474426,0,日常,3
绵羊料理,9630199,36321,8151,86452,358059,27850,675411,0,美食制作,2
逗比的雀巢,16840257,22080,8581,168861,315167,26056,1036343,0,搞笑,1
罗翔说刑法,4625233,42340,8465,113050,225239,41385,357545,0,社科·法律·心理,4
电影最TOP,4449496,2281,2710,34672,39670,16591,109440,0,影视杂谈,21
我是阿众,6397721,20059,10184,710725,329548,51216,598340,0,软件应用,5
崩坏3第一偶像爱酱,16872315,150541,98003,424074,877820,340530,815229,0,短片·手书,1
站不起来的蒙蒙,7508075,6699,3555,46180,61355,4382,563803,0,野生技能协会,3
侃哥侃英语,8241484,11266,13273,280233,76376,9530,413500,0,校园学习,8
杨颜同学,3855777,54125,18812,136393,268371,15894,235551,0,手机游戏,6
碧天蓝钻,21303490,17110,6362,354530,152823,91014,1626954,0,鬼畜调教,4
水无月菌,8511763,22795,17017,93302,331362,62921,365902,0,桌游棋牌,5
罗翔说刑法,7390106,41903,14418,96680,304155,66644,688054,0,社科·法律·心理,2
小透明明TM,3341066,52400,8271,79288,412327,16299,385785,0,日常,8
这个账号叫啥呢,3744654,10849,15049,74526,160488,29261,381183,0,明星综合,6
吟游诗人基德,5586440,35301,14285,177026,302645,128755,469434,0,科学科普,8
零崎人物,6097087,20122,9054,147799,163661,34005,407848,0,单机游戏,9
GNwork团队,2376064,7614,2859,88939,212429,10204,263991,0,单机游戏,37
瓶子君152,6041670,16382,19811,41522,102417,23193,302938,0,特摄,13
刘昔昔昔,2483568,1701,1730,26582,11702,21361,145076,0,影视剪辑,99
米微Micron,12399621,27716,9975,121476,560221,12385,646082,0,科学科普,6
鲁大能,2790054,28271,3673,63834,289581,10327,361976,0,网络游戏,13
小潮院长,15949535,58691,6459,154790,226779,21233,617733,0,单机游戏,5
极客湾Geekerwan,4269224,39594,12975,83160,237044,45791,315602,0,数码,15
晨钟酱Official,3090517,906,4461,301558,112164,14385,177339,0,软件应用,21
比利巴利嘣,3546425,83378,9528,38405,146500,8863,377895,0,明星综合,8
kiesaru_Hxs,4142731,36440,10143,171646,324232,31448,379292,0,短片·手书,23
凉风Kaze,2852609,15826,5508,17164,44881,3833,278528,0,搞笑,17
美尼尔动画君,5402447,42282,7369,91051,281646,22956,414597,0,国产原创相关,10
十五的月亮廿九圆,7831065,18341,28995,76629,70157,81106,599652,0,野生技能协会,8
凉辰lc_,27084537,565065,54686,719211,641377,201626,2190690,0,短片·手书,1
王者荣耀,10839594,65692,12702,86351,109752,62835,535073,0,电子竞技,8
张镇辉台球教学,9004997,3913,2299,79186,19441,36969,590852,0,运动综合,17
rondeseo,2138048,2270,3792,106493,157360,16622,282564,0,综合,11
徐大虾咯,6718513,37780,5903,53985,105858,11788,344215,0,单机游戏,17
冰女安娜,6007902,5350,5594,47971,6982,8530,576990,0,搞笑,47
刘川疯z,5326595,1476,4719,68634,10596,37589,718618,0,搞笑,3
yoyo鹿鸣_Lumi,2491257,1829,9957,25545,44314,14602,190098,0,MMD·3D,29
谁不重要i,4688438,20600,6854,123624,728458,10764,532596,0,网络游戏,5
STN工作室,1953710,32889,3892,30151,121891,2941,142083,0,单机游戏,34
山城小栗旬的理发日记,5983100,41907,6689,21092,30718,27419,385992,0,美妆护肤,21
澄与诚,1860132,2531,2255,63870,54257,41879,178374,0,手机游戏,0
芳斯塔芙,2002334,9834,3670,82503,151811,5238,187875,0,科学科普,23
阿彭彭阿,3943762,13169,1826,40600,175412,12827,304078,0,美食制作,25
哔哩哔哩拜年纪,14295873,208921,11690,163846,304035,18150,367146,0,综合,5
CSGO大茄子,5662378,41065,5790,84480,121076,44726,412257,0,小剧场,6
伊丽莎白鼠,7785191,57697,19997,234978,553975,58002,981421,0,鬼畜调教,2
老师好我叫何同学,13427969,73313,54841,264011,942000,80488,1395134,0,极客DIY,1
手工耿,11385498,66055,31580,64006,202221,66115,802863,0,极客DIY,2
导演小策,6309031,142086,11686,147943,616324,55130,609995,0,搞笑,3
小潮院长,11465884,332487,16790,512647,1220218,55606,1017922,0,单机游戏,1
老番茄,8225434,36026,8956,173153,456756,13609,876000,0,单机游戏,2
公孙田浩,14773182,33333,14305,227185,438368,13025,1346815,0,人文历史,8
医学科普联盟,5059729,14796,25098,156079,245572,193768,377795,0,科学科普,6
逗比的雀巢,9959972,13160,5727,112303,231826,21870,844737,0,搞笑,4
何胜0423,3048115,4699,10978,10443,34556,3470,361596,0,足球,12
原神,4509086,52690,33088,154033,278607,93456,395895,0,手机游戏,3
洛天依,5896694,30377,41783,179777,235827,64423,529709,0,VOCALOID·UTAU,2
木南工坊,1344759,29559,6146,36490,62920,7718,103775,0,特摄,56
董城主,10876510,27708,21914,218046,182864,357854,683255,0,手机游戏,4
韭菜实验室,7797985,37537,3476,64504,128301,2625,825684,0,科学科普,3
小约翰可汗,9011581,32241,11724,50742,176321,18014,356000,0,人文历史,10
无穷小亮的科普日常,9892519,43195,6272,58891,80101,14268,909448,0,科学科普,4
思维跳跃的熊怪,956045,116801,76890,77890,141677,21739,116310,0,综合,3
剑客范十三,8228259,2593,6261,51132,107173,3134,652282,0,运动综合,7
花少北丶,3650751,88988,15191,125444,373582,15238,382998,0,搞笑,7
刘谦,3618034,12115,9713,31278,124648,31814,224864,0,明星综合,16
含亮老师,2307873,7870,3369,38322,144519,12076,220326,0,运动综合,81
演员李感,3360031,12373,8017,30174,82997,13940,266074,0,明星综合,22
木鱼水心,3832454,43963,5295,39907,202665,9782,272324,0,影视杂谈,28
季年Season,2128679,24274,18700,74516,121078,12068,194205,0,手机游戏,11
游戏收藏家Game,3236394,1342,1682,29262,1173,3728,341798,0,竞技体育,37
TF家族,3171971,114554,17616,41490,60307,15922,218220,0,综艺,13
凉风Kaze,2611131,9728,6122,23810,60105,3315,253782,0,动漫杂谈,16
KBShinya,4717694,6062,10201,135252,135126,37858,180352,0,VOCALOID·UTAU,23
怪兽电台MonsterBlog,6851073,6973,7533,129429,164448,26480,419763,0,影视剪辑,52
兔叭咯,3605984,12267,5086,66470,168863,46379,273291,0,科学科普,17
张全蛋,2453493,11461,4018,19474,170784,7237,233619,0,搞笑,31
影视飓风,2699007,8730,2470,21935,56590,8590,221012,0,数码,27
萝卜吃米洛,5027590,17132,3483,92834,137156,2964,355249,0,单机游戏,15
嗑叔磕动物,3479207,2459,1412,35351,5799,16805,325545,0,动物综合,70
中国BOY超级大猩猩,2997829,26648,4892,68826,144501,8509,276098,0,日常,15
Rookie,3923771,3956,5027,16071,76102,9008,246624,0,电子竞技,24
巴黎小郭郭,5040768,7499,3438,51647,23643,1874,703696,0,美食记录,6
papi酱,6707893,5326,6985,39405,39959,65491,542873,0,搞笑,13
疯狂小杨哥,11307943,19252,4062,54748,45308,9528,716201,0,搞笑,9
特效小哥studio,2730015,7397,3071,73436,164999,11099,329055,0,手机游戏,13
苏逸_Suyi,1789288,2918,4738,80442,52495,11469,221188,0,VOCALOID·UTAU,16
嘉然今天吃什么,1409801,5876,15928,39398,100362,29691,133804,0,综合,23
深海色带鱼,7125321,5450,3633,109136,134044,23855,564736,0,鬼畜调教,3
田一名sir,6601628,11660,16322,81700,287741,17097,559280,0,翻唱,2
荒草音乐,5249880,58167,6411,109945,41944,18571,355106,0,运动综合,26
哦呼w,13686554,20160,17281,635485,1019695,189042,1034952,0,鬼畜调教,5
王濛,7163587,12045,9823,45353,104303,6702,792124,0,竞技体育,1
人民日报,2200623,19920,4765,49330,76144,13409,175026,0,翻唱,0
原神,7446731,14394,21542,163988,212599,65941,615183,0,手机游戏,1
水无月菌,7277055,15941,12079,62027,236053,29582,314285,0,桌游棋牌,5
在下铁头阿彪,13083876,4688,2902,211275,280723,21997,899877,0,喵星人,4
三木章,4400478,154,368,11418,1484,1226,84151,0,手工,0
广东共青团,6327949,3098,4888,68056,16697,17578,452191,0,热点,2
盗月社食遇记,3421731,44766,4892,59235,315510,8078,384107,0,日常,5
四宫-研lzc,2041460,7753,4203,67859,218558,10978,209594,0,手办·模玩,13
hanser,3371490,8069,10264,71607,125875,24032,288851,0,MMD·3D,8
次元小主,14198524,10714,10654,150815,82922,37809,971328,0,国产原创相关,3
钉宫理惠,3380778,12948,28672,30565,104569,42408,282116,0,明星综合,7
呆临,5319947,3049,4670,311675,268500,59739,658598,0,GMV,6
阿蔡美食雕刻,6939591,2450,1839,27368,8758,2229,685706,0,美食制作,5
阿诺德evd,5911629,6183,9386,58835,44478,15278,704965,0,出行,2
