"up","time","title","view","danmaku","reply","favorite","coin","share","like","dislike","tname","his_rank"
"晨曦Archi","2022第148期 01.14 - 01.20","【MCx原神】《年度巨制！方块上的提瓦特》（一）","7413144","59398","14600","515892","1185947","125375","1134205","0","单机游戏","1"
"不是词神","2022第148期 01.14 - 01.20","大广东请求出战！《原神》x 曾小敏「神女劈观」真.粤剧版","4621452","14838","19721","163916","437003","72274","480439","0","音乐综合","2"
"老爸评测","2022第148期 01.14 - 01.20","便宜保温杯有毒？33元和258元的保温杯有什么区别？【老爸评测】","6115942","18821","10841","228867","833029","25083","681821","0","日常","2"
"盗月社食遇记","2022第148期 01.14 - 01.20","这叫爆辣炒米粉？隔壁客人拔腿自己炒了一盘！《鸠占鹊巢4》","3872902","20769","5430","167359","559176","6286","478043","0","美食侦探","3"
"棕与灰9","2022第148期 01.14 - 01.20","胖   舞","12934150","4313","4267","184571","532251","24100","1088061","0","短片·手书","16"
"白日梦不要钱--","2022第148期 01.14 - 01.20","出来混，总是要胖的！","11203565","14772","17076","311994","122558","435794","803372","0","美食记录","1"
"一只王霸天","2022第148期 01.14 - 01.20","当我用女声在鬼屋扮演特级教师","9808316","7963","4746","193834","73317","178577","964312","0","搞笑","3"
"探索吧芋圆","2022第148期 01.14 - 01.20","存放了56年的黑猪肉，真是出100000元都不愿意卖吗？会是种什么样的味道？","5640238","9568","9634","25504","136289","10442","266439","0","美食侦探","6"
"原神","2022第148期 01.14 - 01.20","戏中人间——《原神》云堇创作的幕后","3628727","38363","22797","92001","310755","34027","406463","0","手机游戏","1"
"山城小栗旬的理发日记","2022第148期 01.14 - 01.20","平常的视频都是笑着飙泪，这次的视频是感动到飙泪","9416879","14085","7784","80300","294459","17311","938295","0","美妆护肤","5"
"菇菇和呱呱","2022第148期 01.14 - 01.20","筹备600天，我们拍了全网最还原「Saber」 Cosplay","4290208","7525","10824","154714","296788","42409","385506","0","数码","9"
"大漠叔叔","2022第148期 01.14 - 01.20","春节返乡，村口压迫感袭来......","4036585","23250","6429","35755","220141","19399","388881","0","搞笑","6"
"某幻君","2022第148期 01.14 - 01.20","过年无聊 做了几个游戏","2913954","26949","4764","63431","171337","6116","310080","0","单机游戏","4"
"愚人戏社","2022第148期 01.14 - 01.20","【原神手书】三神「今朝同游离人聚」","3283984","13298","5194","203218","241238","36046","353103","0","短片·手书","4"
"小文哥吃吃吃","2022第148期 01.14 - 01.20","全村人开饭了，吃一条50斤的巨大石斑鱼，场面非常壮观","4267886","10853","3006","24425","150230","3720","393240","0","美食制作","4"
"逍遥散人","2022第148期 01.14 - 01.20","【散人】国产民俗恐怖《纸嫁衣3》 终须还了鸳鸯债（完结共5P）","8744981","225337","19910","143693","265457","43844","368441","0","单机游戏","13"
"郑潇viki","2022第148期 01.14 - 01.20","【郑潇】国家队来了！戏腔翻唱「神女劈观」","2757544","4294","7372","70335","223106","16993","283839","0","翻唱","7"
"李buy天","2022第148期 01.14 - 01.20","两个月 用480g黄金 打造【纯金百大奖杯】","1626687","7040","2339","47909","161185","2361","221644","0","手工","88"
"猫不理咖啡","2022第148期 01.14 - 01.20","《奇怪的客人》","10968545","1520","2298","86407","50127","12315","1062220","0","喵星人","5"
"DJGunbuster","2022第148期 01.14 - 01.20","【全球首通】观赏谱巨雪花灾难终于一遍过了","4330465","4388","3277","63252","34837","22097","424208","0","音游","51"
"黝黑蜗壳天眼老师","2022第148期 01.14 - 01.20","柯南中一共死了多少人？【史上最详细数据统计 1994年-2021年】","2417610","13275","3573","62413","192642","19652","228432","0","综合","15"
"约战精灵情报处","2022第148期 01.14 - 01.20","《约战IV》新PV发布！2022年4月TV动画开始放映！","1582582","5317","10027","38961","64631","38285","171450","0","综合","10"
"绵羊料理","2022第148期 01.14 - 01.20","美食up主：这道菜好闻好吃又好看，我不允许它失传！","6573596","24184","3759","53038","212870","8457","483679","0","美食制作","8"
"喵与茶","2022第148期 01.14 - 01.20","《 新 西 游 记 》","1700971","902","804","17903","26245","12771","89994","0","动物二创","0"
"小鸣er先生","2022第148期 01.14 - 01.20","【人间地狱】中德对抗赛解说！中国玩家完美化解德国空降战术！（上）","4582442","9033","4445","61020","72137","30066","231046","0","网络游戏","15"
"逍遥米饭啊","2022第148期 01.14 - 01.20","这场象棋比赛将会得罪全网95%的游戏玩家","6075604","14616","9812","115781","140705","95357","438066","0","桌游棋牌","10"
"帅soserious","2022第148期 01.14 - 01.20","【连续熬夜365天】我的身体发生了什么变化!","9692872","16206","18265","182589","202555","83395","427477","0","健身","6"
"MJ小林大人嗷","2022第148期 01.14 - 01.20","就离谱......哪个鬼才教你这么剪的？","4427019","3081","2993","88911","114569","25166","332179","0","综合","26"
"不知道叫什么好的萝卜","2022第148期 01.14 - 01.20","我用白糖还原了舞蹈：桃源恋歌","9354800","10762","4952","115836","161346","30955","1032954","0","短片·手书","61"
"MoreBoost","2022第148期 01.14 - 01.20","这才是真正的少女感！","4416025","2497","4345","160954","103562","13579","358066","0","综合","13"
"花少北丶","2022第148期 01.14 - 01.20","疲","4131389","30090","7241","79884","188584","7260","354573","0","搞笑","8"
"梦幻西游电脑版","2022第148期 01.14 - 01.20","【王珮瑜 x 游山恋】京剧女老生申请出战！来者恋，如大梦眼前！","4654575","28343","4606","67499","63502","20611","197382","0","MV","17"
"阿彭彭阿","2022第148期 01.14 - 01.20","龙 虾 天 花 板","6503915","11561","2467","56357","250292","15229","512292","0","美食制作","10"
"克劳斯麦特","2022第148期 01.14 - 01.20","【方舟拜年纪】燃烧的远征","1423864","2891","3494","91071","157096","14775","152032","0","短片·手书","23"
"乃琳Queen","2022第148期 01.14 - 01.20","⚡离 谱 50w 纪 念 视 频 挑 战⚡筹备60天，结果翻车了...","1691492","27646","42166","52957","138369","26579","141876","0","综合","2"
"茜茜的旅行","2022第148期 01.14 - 01.20","心痛！禾木小狐狸毛茸茸的大尾巴不见了","4478334","1846","5265","30747","25019","4166","497096","0","野生动物","56"
"刘大悦er","2022第148期 01.14 - 01.20","未来的父母吵架","8242588","1767","3402","46147","6923","22998","706644","0","短片","11"
"中国邮政","2022第148期 01.14 - 01.20","刚！目光所至，皆为华夏！","3438925","2888","4516","15730","15810","1754","332196","0","综合","18"
"是老胡没错","2022第148期 01.14 - 01.20","别难过，不过只是孤独罢了","7460967","11315","13048","129861","125823","35012","727038","0","搞笑","8"
